id,artist,title,lyrics,
1,Deicide,"Behead the Prophet (No Lord Shall Live)
","Deny resurrection, behead the Nazarene son
Foredoomed holy spirit, our war at last be won
Legion crush Jehovah, see through the faceless dog
Untie our world from Satan
You know it can't be done
Wipe away this world of unworth
Decapitation, Satanic rebirth
Off with his head to sever his soul
Beheaded prophet the suffer is yours
""Forever.....""
Virgin, mother murdered, once warned but now is dead
Destroyed heaven's kingdom, in flames the righteous fled
Legion, thou has waited, beface the sacred dog
Satan's revelation, this world will always be ours
End of god the way it must be
Behead the prophet, let Satan free...
No god, no lord shall live
What always has should never been
No god, no lord shall live
Behead the prophet and we win
No man to begotten, infant Jesus dead
End of god forever, cast among the souls of Hell
Thou who has imprisoned, suffer by your own demise
Execrate the revelation, MASTER SATAN RISE!
Deny resurrection, behead the nazarene son
Foredoomed holy spirit, our war at last be won
Legion crush jehovah, see through the faceless dog
Untie our world from Satan
You know it can't be done
No god, no lord shall live
What always has should never been
No god, no lord shall live
Behead the prophet and we win
No man to begotten, infant Jesus dead
End of god forever, cast among the souls of Hell
Thou who has imprisoned,
Execrate the revelation,
MASTER SATAN RISE!",
2,Morbid Angel,Blessed Are the Sick,"[Verse 1]
Havohej another me born to serve
To plague and moan
So many years my seed condemned
Now free to roam

[Verse 2]
Will is yours? So creator
No intent could shadow (Shadow)
My disease, ugh
Ever lusting pain

[Chorus]
World of sickness
Blessed are we to taste life of sin

[Verse 3]
My touch is inhumane
Nocturnal beast inside
Is void of light
And empty shall remain

[Chorus]
World of sickness
Blessed are we to taste life of sin",
3,Immolation,Away From God,"Many times I've keeled before the lord not knowing he was at my feet
Why my pain, why my tears
Only now to see you were just man
You sit and watch, in all your splendor
On creator, it's you I now renounce
Everloving God, your love has failed me
I don't need your love...
Jesus, you couldn't save me
You couldn't save them
You couldn't save the world from misery
Hate my sin, Love my pain
You made us suffer, to your delight
To feel your anguish, will be my strength
Your broken kingdom, shall fall below
Once a time when I yearned to be at one with the Lord
Cheated by your false claims of divinity
I defy your word and rise in your disdain
to revoke you of your dominion
I am the darkness of the world
You couldn't save me
You couldn't save the them
You couldn't save the world from misery
Savior and Healer
The water you walked is drowning me
With glimpses of the highest reward
And the depths of the overwhelming promise
I confront him, the heavens before me
God fleeing, his presence swept away",
4,Incantation,Rotting With Your Christ,"Rotting with your Christ
I can see
The impending suffering
Your words vanishing
Christ for the weak

False
Messiah
Of
Mortality

Lord of lies
Rotting their minds
Bastard childs
We deny
Despise
His heavenly lies

I have freed
My mind of god
Condemn
Your kingdom come

Your
Mindless
Followers
We despise

Prophets for the weak
Your followers blinded
Dreams, eternal paradise
Rotting with your Christ

I see blood
And obliteration
Humanity's sake
This Jesus must die!
Rotting with your Christ",
5,Marduk,Glorification of the Black God,"Glorification of the black god
In the shape of a black goat - The dark lord himself
Presiding over the revelry..
Demons, witches, and spirits of Darkness await
And watch with pleasure on the succumbed virgins
And innocent souls.. Soon to be sacrificed
The only light is the gleam of the torches from the inverted women wombs
And the fire from the cauldron, in which human fat is being boiled
The air is filled with diabolical laughter and screams
Spells are whirling, and the smell of hell is spreading all around
The appearance of spirits of Darkness from the heart of Hell
A necromantical union brought forth to haunt the night
The Christians fled like pigs, overwhelmed with fear
Except glimpses of the moon surrounded by stars
Clouds block the nocturnal light, as the earth trembles
Under hooved feet accompanied by..
The beating of skins under the blackened sky
No one dares to tread the mountain on this night
They watch with enlarged eyes, in fear from afar
As the lightning joins the perverted dance at the bare mountain",
6,Mayhem,De Mysteriis Dom Sathanas,"Welcome to the elder ruins again
The wind whispers
Beside the deep forest
Darkness will show us the way

The sky has darkened
Thirteen as we are
We are collected woeful around a book
Made of human flesh

Heic Noenum Pax
Here is no peace
De Grandae Vus Antiquus Mulum Tristis
Arcanas Mysteria Scriptum

The books blood written pages open
Invoco Crentus Domini De Daemonium
We follow with our white eyes
The ceremonial proceeding

Rex Sacriticulus Mortifer
In the circle of stone coffins
We are standing with our black robes on
Holding the bowl with unholy water

Heic Noenum Pax - Bring us the goat
Psychomantum Et Precr Exito Annos Major
Ferus Netandus Sacerdos Magus
Mortem Animalium",
7,Acheron,Fuck the Ways of Christ,"One should not embellish or dress up Christianity: it has waged a war to the
death against this higher type of man, it has excomminucated all the
fundamental instincts of this type, it has distilled evil, the Evil One, out
of these instincts - the strong human beings as the type of
reprehensibility, as the 'outcast'. Christianity has taken the side of
everything weak, base, illconstituted, it has made an ideal out of
opposition to the preservation instincts of strong life; it has depraved the
reason even of the intellectually strongest natures by teaching men to feel
supreme values of intellectuality as sinful, as misleading, as temptations
2000 years ago has been enough, it's time to cast out Christian thought
The worship of a bastard is absurd, these ways must be fought
No more confessions or worthless prayers, guilt and failth we don't need
Rely upon thy self, not some idol god, self preservation is key
Fuck the ways of Christ, fuck the ways of Christ
Fuck the ways of Christ, fuck the ways of Christ
Fuck the ways of Christ, fuck the ways of Christ
Fuck the ways of Christ, fuck the ways of Christ
Adam and Eve were just a myth, evolution shows the proof
The meek shall never inherit the earth, Darwin, he wrote the truth
The words ""Thou shalt"" are for slaves not for those who rise above
Love thy neighbor"" is a fuckin' joke for few are worthy of my love
Fuck the ways of Christ, fuck the ways of Christ
Fuck the ways of Christ, fuck the ways of Christ
Fuck the ways of Christ, fuck the ways of Christ
Fuck the ways of Christ, fuck the ways of Christ
Purification day has arrived, the Jesus freaks are revealing their ways
Soon the masses will wake up, that will be the Church's final days
Every empire that has stood strong has fallen in the past
Christianity is no exception, it's godly reign will never last
Fuck the ways of Christ, fuck the ways of Christ
Fuck the ways of Christ, fuck the ways of Christ
Fuck the ways of Christ, fuck the ways of Christ
Fuck the ways of Christ, fuck the ways of Christ",
8,Danzig,Snakes of Christ,"Time to run, yeah
Time to hide
Holy war in the land of fire
Never tempt the
Wrath of gods
Gonna dance in the death of life
Take the hand
Enter the world
Just remember you will surely die
Never sell
Evil for lies
Gonna give to you the kiss of life
Serpents of the lord
Crawling
To the will of god
Serpents of your lord
Crawling
All evil
Serpent Jesus
Snake of Christ
Nailed to a cross
Of a holy design
Blood to water
Water to wine
Whip the soul 'til a mother cries
Bring it down, baby
Pierce the side
Start the legend with a funeral right
Serpent Jesus
Snake of Christ
Gonna build you
A world of lies
Serpents of the lord
Crawling
To the will of god
(Serpents of the lord) Serpents of your lord
Crawling
All evil
Oh yeah
Oh yeah
Oh yeah
Crawling
Serpent Jesus
Snake of Christ
Nailed to a cross
Of a holy design
Blood to water
Water to wine
Whip the soul 'til a mother cries
Bring it down, baby
Pierce the side
Start the legend with a funeral right
Serpent Jesus
Snake of Christ
Gonna build you
World of lies
Serpents of the lord
Crawling
To the will of god
(Serpents of the lord) Serpents of the lord
Crawling
All evil, yeah
Yeah",
9,Rodger Bain,"
Black Sabbath","[Instrumental Intro]

[Riff]

[Verse 1]
What is this that stands before me?
Figure in black which points at me
Turn 'round quick and start to run
Find out I'm the chosen one
Oh, no!

[Verse 2]
Big black shape with eyes of fire
Tellin' people their desire
Satan's sittin' there, he's smilin'
Watches those flames get higher and higher
Oh, no! No! Please, God, help me!

[Outro]
Is it the end, my friend?
Satan's comin' 'round the bend
People runnin' 'cause they're scared
The people better go and beware
No! No! Please, no!

[Guitar Solo]

You might also like
¡§Slut!¡¨ (Taylor¡¦s Version) [From The Vault]
Taylor Swift
Say Don¡¦t Go (Taylor¡¦s Version) [From The Vault]
Taylor Swift
?lacy
Olivia Rodrigo


",
10,Blasphemer,You Are Nothing,"False idea of a supreme entity
Empty name gives voice to nothing

The time has come
To deny
Reject
The fraud
The fucking lies of Christ

You tried to impose on humans
By telling tales
Favoring the belief in evil!

You are nothing
You are nothing
You are nothing
You are nothing

I never
Felt your love, I never
Heard your comforting word, I never
Saw your shining light
I never
Wanted a god in my life

I will always scream your absence
I will fight your cursed belief",
