id,title,lyrics,label
1,Johny Johny Yes Papa,"Johny, Johny? Yes, Papa?
Eating sugar? No, Papa
Are you sure? Yes, Papa
Open your mouth, ha, ha, ha
Teddy, Teddy? Yes, Papa?
Eating sugar? No, Papa
Are you sure? Yes, Papa
Open your mouth, ha, ha, ha
Monkey, Monkey? Yes, Papa?
Eating sugar? No, Papa
Are you sure? Yes, Papa
Open your mouth, ha, ha, ha
Mousie, Mousie? Yes, Papa?
Eating sugar? No, Papa
Are you sure? Yes, Papa
Open your mouth, ha, ha, ha",clean
2,Five Little Ducks,"Five little ducks went swimming one day
Over the hill and far away
Mother duck said, ""Quack, quack, quack""
But only four little ducks came back
Four little ducks went swimming one day
Over the hill and far away
Mother duck said, ""Quack, quack, quack""
But only three little ducks came back
Three little ducks went swimming one day
Over the hill and far away
Mother duck said, ""Quack, quack, quack""
But only two little ducks came back
Two little ducks went swimming one day
Over the hill and far away
Mother duck said, ""Quack, quack, quack""
But only one little duck came back
One little duck went swimming one day
Over the hill and far away
Mother duck said, ""Quack, quack, quack""
But no little ducks came back
No little ducks went swimming one day
Over the hill and far away
Mother duck said, ""Quack, quack, quack""
And all the little ducks came back
And all the little ducks came back",clean
3,Once I Caught a Fish Alive,"One, two, three, four, five, once I caught a fish alive
Six, seven, eight, nine, ten, then I let it go again
Why did you let it go? (Because it bit my finger so)
Which finger did it bite? (This little finger on my right)
One, two, three, four, five, once I caught a fish alive
Six, seven, eight, nine, ten, then I let it go again
Why did you let it go? (Because it bit my finger so)
Which finger did it bite? (This little finger on my right)
One, two, three, four, five, once I caught a fish alive
Six, seven, eight, nine, ten, then I let it go again
Why did you let it go? (Because it bit my finger so)
Which finger did it bite? (This little finger on my right)
One, two, three, four, five, once I caught a fish alive
Six, seven, eight, nine, ten, then I let it go again
Why did you let it go? Because it bit my finger so
Which finger did it bite? This little finger on my right",clean
4,I'm a Little Teapot,"I'm a little teapot short and stout
This is my handle, this is my spout
When I get all steamed up hear me shout
Tip me over and pour me out
I'm a clever teapot, yes, it's true
Here's an example of what I can do
I can change my handle into a spout
Tip me over and pour me out
I'm a little teapot short and stout
This is my handle, this is my spout
When I get all steamed up hear me shout
Tip me over and pour me out
I'm a clever teapot, yes, it's true
Here's an example of what I can do
I can change my handle into a spout
Tip me over and pour me out",clean
5,The Finger Family,"One, two, three, four, five
Finger family!
Daddy finger, Daddy finger
Where are you?
Here I am, here I am
How do you do?
Daddy finger, Daddy finger
What do you do?
Play guitar, play guitar
That's what I do
Mommy finger, Mommy finger
Where are you?
Here I am, here I am
How do you do?
Mommy finger, Mommy finger
What do you do?
Exercise, exercise
That's what I do
Brother finger, brother finger
Where are you?
Here I am, here I am
How do you do?
Brother finger, brother finger
What do you do?
Building things, building things
That's what I do
Sister finger, sister finger
Where are you?
Here I am, here I am
How do you do?
Sister finger, sister finger
What do you do?
Draw and paint, draw and paint
That's what I do
Baby finger, baby finger
Where are you?
Here I am, here I am
How do you do?
Baby finger, baby finger
What do you do?
Play with friends, play with friends
That's what I do",clean
6,"Rain, Rain, Go Away","Rain, rain go away
Come again another day
Little Baby wants to play
Rain, rain go away
Rain, rain go away
Come again another day
Everybody wants to play
Rain, rain go away
Rain, rain go away
Come again another day
Little Brother wants to play
Rain, rain go away
Rain, rain go away
Come again another day
Everybody wants to play
Rain, rain go away
Rain, rain go away
Come again another day
Little Sister wants to play
Rain, rain go away
Rain, rain go away
Come again another day
Everybody wants to play
Rain, rain go away
Rain, rain went away
To come again another day
Everybody catch to play
Rain, rain went away",clean
7,"Head, Shoulders, Knees and Toes","Rain, rain go away
Come again another day
Little Baby wants to play
Rain, rain go away
Rain, rain go away
Come again another day
Everybody wants to play
Rain, rain go away
Rain, rain go away
Come again another day
Little Brother wants to play
Rain, rain go away
Rain, rain go away
Come again another day
Everybody wants to play
Rain, rain go away
Rain, rain go away
Come again another day
Little Sister wants to play
Rain, rain go away
Rain, rain go away
Come again another day
Everybody wants to play
Rain, rain go away
Rain, rain went away
To come again another day
Everybody catch to play
Rain, rain went away",clean
8,Bingo,"There was a farmer had a dog
And Bingo was his name-o!
- I-N-G-O, - I-N-G-O, - I-N-G-O
And Bingo was his name-o!

There was a farmer had a dog
And Bingo was his name-o!
- - N-G-O, - - N-G-O, - - N-G-O
And Bingo was his name-o!

There was a farmer had a dog
And Bingo was his name-o!
- - - G-O, - - - G-O, - - - G-O
And Bingo was his name-o!

There was a farmer had a dog
And Bingo was his name-o!
- - - - O, - - - - O, - - - - O
And Bingo was his name-o!

There was a farmer had a dog
And Bingo was his name-o!
- - - - -, - - - - -, - - - - -
And Bingo was his name-o!

There was a farmer had a dog
And Bingo was his name-o!
B-I-N-G-O, B-I-N-G-O, B-I-N-G-O
And Bingo was his name-o!",clean
9,Five Little Monkeys,"Five!
Five little monkeys jumping on the bed
One fell off and bumped her head
Mama called the doctor and the doctor said
""Hello, no more monkeys jumping on the bed!""
Four!
Four little monkeys jumping on the bed
One fell off and bumped his head
Mama called the doctor and the doctor said
""Hello, no more monkeys jumping on the bed!""
Three!
Three little monkeys jumping on the bed
One fell off and bumped her head
Mama called the doctor and the doctor said
""Hello, no more monkeys jumping on the bed!""
Two!
Two little monkeys jumping on the bed
One fell off and bumped her head
Mama called the doctor and the doctor said
""Hello, no more monkeys jumping on the bed!""
One!
One little monkey jumping on the bed
He fell off and bumped his head
Mama called the doctor and the doctor said
""Hello, no more monkeys jumping on the bed!""
No little monkeys jumping on the bed
They fell asleep while laying their heads
Doctor called mama and mama said
""Hello, no more monkeys jumping on the bed!""",clean
10,"One, Two, Buckle My Shoe","Five!
Five little monkeys jumping on the bed
One fell off and bumped her head
Mama called the doctor and the doctor said
""Hello, no more monkeys jumping on the bed!""
Four!
Four little monkeys jumping on the bed
One fell off and bumped his head
Mama called the doctor and the doctor said
""Hello, no more monkeys jumping on the bed!""
Three!
Three little monkeys jumping on the bed
One fell off and bumped her head
Mama called the doctor and the doctor said
""Hello, no more monkeys jumping on the bed!""
Two!
Two little monkeys jumping on the bed
One fell off and bumped her head
Mama called the doctor and the doctor said
""Hello, no more monkeys jumping on the bed!""
One!
One little monkey jumping on the bed
He fell off and bumped his head
Mama called the doctor and the doctor said
""Hello, no more monkeys jumping on the bed!""
No little monkeys jumping on the bed
They fell asleep while laying their heads
Doctor called mama and mama said
""Hello, no more monkeys jumping on the bed!""",clean
