access_drinking_water,own_water_bottle,how_often_use_water_bottle ,motivations_utilizing_water_bottles,number_of_purchased_bottled_water,motivations_purchase_bottled_water,concerns_about_environmental_impact,frequency_of_recycling,willingness_to_make_changes,gender,student_status,college,level_of_education,years_of_attending_NCCU,residence
Water dispenser (water filling station),"Yes, and I use it on campus.",Every day,"Access to convenient dispensing system, Costs of purchasing bottled water, Out of habits",0,Forget to bring my water bottle,3,Often,4,Female,Domestic student,College of Commerce,Undergraduate,At least one year,Off Campus
Water dispenser (water filling station),No,Never,"Access to convenient dispensing system, Out of habits", 1-3,"Portability, Troublesome to clean my water bottle",3,Always,3,Female,Domestic student,College of Foreign Languages and Literature,Master Student,At least one year,On Campus
Water dispenser (water filling station),"Yes, and I use it on campus.",Every day,"Access to convenient dispensing system, Environmental concerns, Costs of purchasing bottled water, Want to drink hot water",0,"Forget to bring my water bottle, Portability",3,Always,4,Female,Domestic student,College of Foreign Languages and Literature,Undergraduate,Less than 1,On Campus
Water dispenser (water filling station),"Yes, and I use it on campus.",Every day,"Access to convenient dispensing system, Want to drink hot water",0,Forget to bring my water bottle,1,Always,3,Male,Domestic student,College of Liberal Arts,Undergraduate,At least one year,On Campus
Water dispenser (water filling station),"Yes, and I use it on campus.",Every day,"Access to convenient dispensing system, Environmental concerns, Health and safety considerations, Costs of purchasing bottled water, Influence from family or peers, Out of habits, Want to drink hot water",0,Forget to bring my water bottle,4,Always,4,Female,Domestic student,College of Law,Undergraduate,At least four years,On Campus
Water dispenser (water filling station),"Yes, and I use it on campus.",Almost every day,"Access to convenient dispensing system, Environmental concerns, Costs of purchasing bottled water",0,"Forget to bring my water bottle, Portability",4,Always,5,Female,Domestic student,College of Communication,Master Student,At least one year,Off Campus
Water dispenser (water filling station),"Yes, and I use it on campus.",Every day,"Access to convenient dispensing system, Environmental concerns, Out of habits",0,Forget to bring my water bottle,5,Always,5,Female,Domestic student,College of Commerce,Undergraduate,At least two years,On Campus
Water dispenser (water filling station),"Yes, and I use it on campus.",Every day,"Access to convenient dispensing system, Environmental concerns, Health and safety considerations, Out of habits, Want to drink hot water",0,"Forget to bring my water bottle, Portability",3,Rarely,4,Female,Domestic student,College of Commerce,Undergraduate,At least two years,On Campus
Water dispenser (water filling station),"Yes, and I use it on campus.",Every day,"Access to convenient dispensing system, Environmental concerns, Health and safety considerations, Costs of purchasing bottled water, Out of habits",0,Forget to bring my water bottle,4,Always,5,Male,Domestic student,College of Law,PhD Student,Less than 1,On Campus
Water dispenser (water filling station),"Yes, and I use it on campus.",Every day,"Access to convenient dispensing system, Costs of purchasing bottled water, Out of habits, Want to drink hot water",0,Forget to bring my water bottle,3,Sometimes,4,Female,Domestic student,College of Commerce,Undergraduate,At least one year,On Campus
